timeStamp,sessionId,participantId,action,actor,x,y,z,target
2018-04-04 11:03:12.584 +03:00,55111,A BOT,Kick,A,-3.1,1.1,-3.9,C
2018-04-04 11:03:12.625 +03:00,38627,C BOT,EnterTP,C,2.3,1.1,0.4,
2018-04-04 11:03:12.655 +03:00,32801,B,EnterTP,B,-3.6,1.1,-2.6,
2018-04-04 11:03:12.674 +03:00,34547,D BOT,Deactivated,D,-4.2,1.1,0.4,
2018-04-04 11:03:12.678 +03:00,34547,D BOT,Activated,D,-4.2,1.1,0.4,
2018-04-04 11:03:12.774 +03:00,38627,A,moved,A,-3.8,0.5,0,
2018-04-04 11:03:12.813 +03:00,53049,B,moved,B,1.7,-0.4,3.8,
2018-04-04 11:03:12.883 +03:00,34547,A,moved,A,6,0.5,1,
2018-04-04 11:03:12.972 +03:00,59297,C BOT,EnterTP,C,-7.2,1.1,-1.7,
2018-04-04 11:03:13.152 +03:00,38627,A,EnterTP,A,-1.7,1.1,-2.4,
2018-04-04 11:03:13.315 +03:00,53049,D BOT,Activated,D,5.2,1.1,0.4,
2018-04-04 11:03:13.322 +03:00,53049,D BOT,Deactivated,D,5.2,1.1,0.4,
2018-04-04 11:03:13.327 +03:00,32801,B,moved,B,-4,0.5,0.1,
2018-04-04 11:03:13.619 +03:00,32801,D BOT,EnterTP,D,2.3,1.1,0,
2018-04-04 11:03:13.656 +03:00,55111,B BOT,EnterTP,B,6,1.1,-2.6,
2018-04-04 11:03:13.804 +03:00,55111,C,moved,C,5.7,0.5,0.9,
2018-04-04 11:03:14.229 +03:00,38627,D BOT,EnterTP,D,-6,1.1,-2.6,
2018-04-04 11:03:14.321 +03:00,38627,C BOT,exitTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:14.405 +03:00,34547,A,moved,A,4.3,0.5,-0.8,
2018-04-04 11:03:14.726 +03:00,34547,A,moved,A,7.2,0.5,1.1,
2018-04-04 11:03:14.839 +03:00,32801,B,Activated,B,-4,1.1,0,
2018-04-04 11:03:14.845 +03:00,32801,B,Activated,B,-4,1.1,0,
2018-04-04 11:03:15.041 +03:00,34547,C BOT,EnterTP,C,3.5,1.1,-2.6,
2018-04-04 11:03:15.303 +03:00,53049,B,moved,B,-1.5,-0.4,-0.2,
2018-04-04 11:03:15.315 +03:00,55111,C,EnterTP,C,-7.1,1.1,-0.1,
2018-04-04 11:03:15.389 +03:00,55111,C,moved,C,-4.2,0.5,0.1,
2018-04-04 11:03:15.466 +03:00,32801,D BOT,TakeOff,D,4.9,1.1,0.3,
2018-04-04 11:03:15.477 +03:00,32801,D BOT,exitTP,D,-15.3,0.6,-5,
2018-04-04 11:03:15.621 +03:00,32801,B,Deactivated,B,-4,1.1,0.1,
2018-04-04 11:03:15.623 +03:00,32801,C BOT,EnterTP,C,7.3,1.1,3.3,
2018-04-04 11:03:15.648 +03:00,32801,B,Activated,B,-4,1.1,0.1,
2018-04-04 11:03:15.849 +03:00,34547,C BOT,exitTP,C,2.4,1.1,-2.2,
2018-04-04 11:03:16.275 +03:00,38627,C BOT,Kick,C,-0.9,1.1,-0.1,A
2018-04-04 11:03:16.327 +03:00,53049,B,moved,B,-3.1,0.5,-0.3,
2018-04-04 11:03:16.613 +03:00,38627,A,moved,A,-4.2,0.5,0.4,
2018-04-04 11:03:16.616 +03:00,38627,A,exitTP,A,-7.7,1.1,0.7,
2018-04-04 11:03:16.651 +03:00,55111,C,moved,C,-2.8,0.5,1.5,
2018-04-04 11:03:17.196 +03:00,53049,B,moved,B,-2.8,-0.4,-2.2,
