timeStamp,sessionId,actor,action,x,y,z,target
4/25/2018 14:15:29:376,59740,C BOT_moral,Kick,-4.6, 1.1, 0.7,A BOT
4/25/2018 14:15:35:840,59740,A BOT,Kick,-2.6, 1.1, -0.8,C BOT_moral
4/25/2018 14:15:37:19,59740,C BOT_moral,Kick,-4.5, 1.1, 0.7,A BOT
4/25/2018 14:15:41:735,59740,A BOT,Kick,-2.6, 1.1, -0.8,C BOT_moral
4/25/2018 14:15:49:526,59740,A BOT,Kick,-2.2, 1.1, -1.1,C BOT_moral
4/25/2018 14:15:56:852,59740,A BOT,exitTP,-1.2, 1.1, -0.9,
4/25/2018 14:16:00:421,59740,A BOT,EnterTP,2.3, 1.1, -0.2,
4/25/2018 14:16:01:975,59740,C BOT_moral,exitTP,-1.1, 1.1, 0.4,
4/25/2018 14:16:06:166,59740,A BOT,exitTP,2.1, 1.1, 0.3,
4/25/2018 14:16:06:287,59740,C BOT_moral,EnterTP,-1.2, 1.1, 0.4,
4/25/2018 14:16:09:636,59740,A BOT,EnterTP,-1.3, 1.1, 0.3,
4/25/2018 14:16:11:747,59740,A BOT,exitTP,-1.1, 1.1, 0.3,
4/25/2018 14:16:14:370,59740,C BOT_moral,exitTP,-1.1, 1.1, 0.4,
4/25/2018 14:16:15:213,59740,A BOT,EnterTP,2.3, 1.1, 0.3,
4/25/2018 14:16:17:860,59740,C BOT_moral,EnterTP,2.3, 1.1, 0.4,
4/25/2018 14:16:24:545,59740,C BOT_moral,Kick,4.5, 1.1, 0.5,A BOT
4/25/2018 14:16:29:931,59740,C BOT_moral,exitTP,2.2, 1.1, 1.5,
4/25/2018 14:16:30:166,59740,B,Move,-14.4, 1.7, -6.1,
4/25/2018 14:16:30:764,59740,A BOT,exitTP,2.2, 1.1, -0.7,
4/25/2018 14:16:31:368,59740,A BOT,Kick,1.7, 1.1, -0.7,C BOT_moral
4/25/2018 14:16:32:578,59740,B,Move,-12.2, 1.7, -6.8,
4/25/2018 14:16:33:430,59740,C BOT_moral,EnterTP,-1.3, 1.1, 1.0,
4/25/2018 14:16:36:351,59740,B,Move,-9.9, 1.7, -4.6,
4/25/2018 14:16:36:839,59740,B,Move,-10.1, 1.7, -4.3,
4/25/2018 14:16:37:945,59740,C BOT_moral,exitTP,-1.2, 1.1, 0.5,
4/25/2018 14:16:41:532,59740,A BOT,EnterTP,-1.3, 1.1, -0.7,
4/25/2018 14:16:42:27,59740,C BOT_moral,EnterTP,2.4, 1.1, 0.8,
4/25/2018 14:16:44:110,59740,B,Move,-9.0, 1.7, -5.6,
4/25/2018 14:16:45:802,59740,A BOT,exitTP,-1.2, 1.1, 0.1,
4/25/2018 14:16:46:43,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:46:44,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:46:44,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:46:45,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:46:45,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:46:45,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:49:820,59740,A BOT,EnterTP,-1.2, 1.1, 0.3,
4/25/2018 14:16:50:311,59740,C BOT_moral,exitTP,2.2, 1.1, 0.4,
4/25/2018 14:16:53:742,59740,C BOT_moral,EnterTP,-1.2, 1.1, 0.3,
4/25/2018 14:16:53:743,59740,C BOT_moral,Kick,-1.2, 1.1, 0.3,A BOT
4/25/2018 14:16:55:324,59740,C BOT_moral,exitTP,-1.2, 1.1, 0.3,
4/25/2018 14:16:58:132,59740,B,Move,-9.4, 1.7, -5.1,
4/25/2018 14:16:58:502,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:503,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:503,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:503,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:504,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:504,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:504,59740,B,Move,-9.3, 1.7, -5.3,
4/25/2018 14:16:58:995,59740,B,Move,-8.9, 1.7, -5.7,
4/25/2018 14:16:58:996,59740,B,Move,-8.9, 1.7, -5.7,
4/25/2018 14:16:58:996,59740,B,Move,-8.9, 1.7, -5.7,
4/25/2018 14:16:58:997,59740,B,Move,-8.9, 1.7, -5.7,
4/25/2018 14:16:58:997,59740,B,Move,-8.9, 1.7, -5.7,
4/25/2018 14:16:58:997,59740,B,Move,-8.9, 1.7, -5.7,
4/25/2018 14:16:59:489,59740,B,Move,-8.7, 1.7, -6.0,
4/25/2018 14:16:59:490,59740,A BOT,exitTP,-1.1, 1.1, 0.7,
4/25/2018 14:17:00:233,59740,B,Move,-8.2, 1.7, -6.5,
4/25/2018 14:17:00:234,59740,B,Move,-8.2, 1.7, -6.5,
4/25/2018 14:17:00:235,59740,B,Move,-8.2, 1.7, -6.5,
4/25/2018 14:17:00:235,59740,B,Move,-8.2, 1.7, -6.5,
4/25/2018 14:17:00:236,59740,B,Move,-8.2, 1.7, -6.5,
4/25/2018 14:17:00:236,59740,B,Move,-8.2, 1.7, -6.5,
4/25/2018 14:17:00:606,59740,C BOT_moral,EnterTP,2.3, 1.1, 0.1,
4/25/2018 14:17:00:607,59740,A BOT,Kick,-0.1, 1.1, 0.7,C BOT_moral
4/25/2018 14:17:02:336,59740,B,Move,-8.5, 1.7, -6.1,
4/25/2018 14:17:02:337,59740,B,Move,-8.5, 1.7, -6.1,
4/25/2018 14:17:02:337,59740,B,Move,-8.5, 1.7, -6.1,
4/25/2018 14:17:02:338,59740,B,Move,-8.5, 1.7, -6.1,
4/25/2018 14:17:02:338,59740,B,Move,-8.5, 1.7, -6.1,
4/25/2018 14:17:02:338,59740,B,Move,-8.5, 1.7, -6.1,
4/25/2018 14:17:02:824,59740,B,Move,-8.3, 1.7, -6.4,
4/25/2018 14:17:06:126,59740,A BOT,EnterTP,-1.3, 1.1, 0.6,
4/25/2018 14:17:08:462,59740,C BOT_moral,exitTP,2.2, 1.1, 0.4,
4/25/2018 14:17:08:830,59740,B,Move,-6.1, 1.7, -8.6,
4/25/2018 14:17:08:831,59740,B,Move,-6.1, 1.7, -8.6,
4/25/2018 14:17:08:832,59740,B,Move,-6.1, 1.7, -8.6,
4/25/2018 14:17:08:834,59740,B,Move,-6.1, 1.7, -8.6,
4/25/2018 14:17:08:834,59740,B,Move,-6.1, 1.7, -8.6,
4/25/2018 14:17:08:834,59740,B,Move,-6.1, 1.7, -8.6,
4/25/2018 14:17:11:888,59740,C BOT_moral,EnterTP,2.3, 1.1, 0.4,
4/25/2018 14:17:15:361,59740,A BOT,exitTP,-1.1, 1.1, 0.4,
4/25/2018 14:17:18:354,59740,C BOT_moral,Kick,4.9, 1.1, 0.4,A BOT
4/25/2018 14:17:18:355,59740,A BOT,Kick,2.0, 1.1, 0.4,C BOT_moral
